Negredo,Middlesbrough,127,£6.2
Long,Southampton,54,£6.1
Llorente,Swansea,126,£6.1
Callum Wilson,Bournemouth,63,£6.0
Gray,Burnley,102,£6.0
Iheanacho,Man City,51,£6.0
Berahino,Stoke,25,£6.0
Hernández,Hull,72,£5.9
Origi,Liverpool,89,£5.9
Niang,Watford,44,£5.9
Carroll,West Ham,69,£5.9
Diouf,Stoke,47,£5.7
Sakho,West Ham,12,£5.7
Vokes,Burnley,107,£5.6
Niasse,Hull,37,£5.6
Okazaki,Leicester,55,£5.6
Wickham,Crystal Palace,18,£5.5
Ulloa,Leicester,24,£5.5
Afobe,Bournemouth,87,£5.4
Mbokani,Hull,27,£5.4
Ings,Liverpool,0,£5.4
Valencia,Everton,51,£5.2
Zárate,Watford,8,£5.2
Mousset,Bournemouth,7,£5.1
Koné,Everton,4,£5.1
Borini,Sunderland,44,£5.1
Okaka,Watford,35,£5.1
Solanke,Chelsea,0,£5.0
Ayew,Swansea,29,£5.0
Robson-Kanu,West Brom,46,£5.0
Fletcher,West Ham,14,£5.0
Bamford,Middlesbrough,11,£4.9
Sanogo,Arsenal,0,£4.6
Barnes,Burnley,79,£4.6
Stuani,Middlesbrough,54,£4.6
Agyei,Burnley,3,£4.5
Calvert-Lewin,Everton,17,£4.5
Bowen,Hull,5,£4.5
Hinchcliffe,Hull,0,£4.5
Brewster,Liverpool,0,£4.5
Gestede,Middlesbrough,20,£4.5
Ngoy,Stoke,5,£4.5
Crouch,Stoke,68,£4.5
Maja,Sunderland,0,£4.5
McBurnie,Swansea,5,£4.5
Campbell,Crystal Palace,15,£4.4
Luer,Hull,0,£4.4
Keane,Hull,8,£4.4
Diomande,Hull,42,£4.4
Jonathan Benteke,Crystal Palace,1,£4.3
Anichebe,Sunderland,47,£4.3
